 viout#branch    i(Viout)       
-2.19273488e-11 -2.19273488e-11 
-1.00313002e-09 -1.00313002e-09 
-1.89401561e-09 -1.89401561e-09 
-2.90604873e-09 -2.90604873e-09 
-3.02842551e-09 -3.02842551e-09 
-4.04227762e-09 -4.04227762e-09 
-4.94261343e-09 -4.94261343e-09 
-5.96974559e-09 -5.96974559e-09 
-6.92146784e-09 -6.92146784e-09 
-7.93873767e-09 -7.93873767e-09 
-8.85039952e-09 -8.85039952e-09 
-9.87524373e-09 -9.87524373e-09 
-9.99651917e-09 -9.99651917e-09 
-1.10163469e-08 -1.10163469e-08 
-1.19292096e-08 -1.19292096e-08 
-1.29588358e-08 -1.29588358e-08 
-1.55378714e-08 -1.55378714e-08 
-1.65573368e-08 -1.65573368e-08 
-1.74650410e-08 -1.74650410e-08 
-1.84953421e-08 -1.84953421e-08 
-1.86181737e-08 -1.86181737e-08 
-1.96493630e-08 -1.96493630e-08 
-2.05623394e-08 -2.05623394e-08 
-2.15926406e-08 -2.15926406e-08 
-2.25449028e-08 -2.25449028e-08 
-2.35636719e-08 -2.35636719e-08 
-2.44711273e-08 -2.44711273e-08 
-2.55032475e-08 -2.55032475e-08 
-2.56258375e-08 -2.56258375e-08 
-2.66522946e-08 -2.66522946e-08 
-2.75637646e-08 -2.75637646e-08 
-2.85871948e-08 -2.85871948e-08 
-3.01925454e-08 -3.01925454e-08 
-3.11974304e-08 -3.11974304e-08 
-3.21042322e-08 -3.21042322e-08 
-3.31264118e-08 -3.31264118e-08 
-3.32479928e-08 -3.32479928e-08 
-3.42627615e-08 -3.42627615e-08 
-3.51660745e-08 -3.51660745e-08 
-3.61953099e-08 -3.61953099e-08 
-3.71468900e-08 -3.71468900e-08 
-3.81665544e-08 -3.81665544e-08 
-3.90776478e-08 -3.90776478e-08 
-4.01044176e-08 -4.01044176e-08 
-4.02258564e-08 -4.02258564e-08 
-4.12396659e-08 -4.12396659e-08 
-4.21423465e-08 -4.21423465e-08 
-4.31575913e-08 -4.31575913e-08 
-4.57012987e-08 -4.57012987e-08 
-4.67095802e-08 -4.67095802e-08 
-4.76153232e-08 -4.76153232e-08 
-4.86332823e-08 -4.86332823e-08 
-4.87544796e-08 -4.87544796e-08 
-4.97776895e-08 -4.97776895e-08 
-5.06892022e-08 -5.06892022e-08 
-5.17174001e-08 -5.17174001e-08 
-5.26718154e-08 -5.26718154e-08 
-5.36962617e-08 -5.36962617e-08 
-5.46053229e-08 -5.46053229e-08 
-5.56358302e-08 -5.56358302e-08 
-5.57577309e-08 -5.57577309e-08 
-5.67802445e-08 -5.67802445e-08 
-5.76868402e-08 -5.76868402e-08 
-5.87002660e-08 -5.87002660e-08 
-7.89442254e-08 -7.89442254e-08 
-7.99509507e-08 -7.99509507e-08 
-8.08563030e-08 -8.08563030e-08 
-8.18738641e-08 -8.18738641e-08 
-8.19958856e-08 -8.19958856e-08 
-8.30185840e-08 -8.30185840e-08 
-8.39260963e-08 -8.39260963e-08 
-8.49572928e-08 -8.49572928e-08 
-8.59071392e-08 -8.59071392e-08 
-8.69230803e-08 -8.69230803e-08 
-8.78293918e-08 -8.78293918e-08 
-8.88479406e-08 -8.88479406e-08 
-8.89680791e-08 -8.89680791e-08 
-8.99769432e-08 -8.99769432e-08 
-9.08806612e-08 -9.08806612e-08 
-9.19012280e-08 -9.19012280e-08 
-9.44654630e-08 -9.44654630e-08 
-9.54814183e-08 -9.54814183e-08 
-9.63912825e-08 -9.63912825e-08 
-9.74143575e-08 -9.74143575e-08 
-9.75364074e-08 -9.75364074e-08 
-9.85639304e-08 -9.85639304e-08 
-9.94765514e-08 -9.94765514e-08 
-1.00505368e-07 -1.00505368e-07 
-1.01458106e-07 -1.01458106e-07 
-1.02478616e-07 -1.02478616e-07 
-1.03384018e-07 -1.03384018e-07 
-1.04408727e-07 -1.04408727e-07 
-1.04529818e-07 -1.04529818e-07 
-1.05546135e-07 -1.05546135e-07 
-1.06448894e-07 -1.06448894e-07 
-1.07458582e-07 -1.07458582e-07 
-1.09031511e-07 -1.09031511e-07 
-1.10031955e-07 -1.10031955e-07 
-1.10925455e-07 -1.10925455e-07 
-1.11944061e-07 -1.11944061e-07 
-1.12065180e-07 -1.12065180e-07 
-1.13080446e-07 -1.13080446e-07 
-1.13976341e-07 -1.13976341e-07 
-1.14987941e-07 -1.14987941e-07 
-1.15923662e-07 -1.15923662e-07 
-1.16931808e-07 -1.16931808e-07 
-1.17832840e-07 -1.17832840e-07 
-1.18854956e-07 -1.18854956e-07 
-1.18975976e-07 -1.18975976e-07 
-1.19989139e-07 -1.19989139e-07 
-1.20888949e-07 -1.20888949e-07 
-1.21901941e-07 -1.21901941e-07 
-1.24449222e-07 -1.24449222e-07 
-1.25457575e-07 -1.25457575e-07 
-1.26362622e-07 -1.26362622e-07 
-1.27379018e-07 -1.27379018e-07 
-1.27498922e-07 -1.27498922e-07 
-1.28511402e-07 -1.28511402e-07 
-1.29414715e-07 -1.29414715e-07 
-1.30431701e-07 -1.30431701e-07 
-1.31374279e-07 -1.31374279e-07 
-1.32388479e-07 -1.32388479e-07 
-1.33286385e-07 -1.33286385e-07 
-1.34304948e-07 -1.34304948e-07 
-1.34425015e-07 -1.34425015e-07 
-1.35438945e-07 -1.35438945e-07 
-1.36338819e-07 -1.36338819e-07 
-1.37341793e-07 -1.37341793e-07 
