 viout#branch    i(Viout)       
-2.18634000e-11 -2.18634000e-11 
-2.49161758e-09 -2.49161758e-09 
-6.53000143e-09 -6.53000143e-09 
-9.05168918e-09 -9.05168918e-09 
-8.77044926e-09 -8.77044926e-09 
-1.12874687e-08 -1.12874687e-08 
-1.53144910e-08 -1.53144910e-08 
-1.78339974e-08 -1.78339974e-08 
-2.17171916e-08 -2.17171916e-08 
-2.42548097e-08 -2.42548097e-08 
-2.83217645e-08 -2.83217645e-08 
-3.08467918e-08 -3.08467918e-08 
-3.05752508e-08 -3.05752508e-08 
-3.30820171e-08 -3.30820171e-08 
-3.70972728e-08 -3.70972728e-08 
-3.95859772e-08 -3.95859772e-08 
-3.44615145e-08 -3.44615145e-08 
-3.69966315e-08 -3.69966315e-08 
-4.10707131e-08 -4.10707131e-08 
-4.36095391e-08 -4.36095391e-08 
-4.33277876e-08 -4.33277876e-08 
-4.58542715e-08 -4.58542715e-08 
-4.98739041e-08 -4.98739041e-08 
-5.23663459e-08 -5.23663459e-08 
-5.62542510e-08 -5.62542510e-08 
-5.87775730e-08 -5.87775730e-08 
-6.28189767e-08 -6.28189767e-08 
-6.53381278e-08 -6.53381278e-08 
-6.50710774e-08 -6.50710774e-08 
-6.75807996e-08 -6.75807996e-08 
-7.15813684e-08 -7.15813684e-08 
-7.40445927e-08 -7.40445927e-08 
-8.27337345e-08 -8.27337345e-08 
-8.52634088e-08 -8.52634088e-08 
-8.93514098e-08 -8.93514098e-08 
-9.18885306e-08 -9.18885306e-08 
-9.16058269e-08 -9.16058269e-08 
-9.41227825e-08 -9.41227825e-08 
-9.81483836e-08 -9.81483836e-08 
-1.00663456e-07 -1.00663456e-07 
-1.04563952e-07 -1.04563952e-07 
-1.07096767e-07 -1.07096767e-07 
-1.11141311e-07 -1.11141311e-07 
-1.13652447e-07 -1.13652447e-07 
-1.13384715e-07 -1.13384715e-07 
-1.15878592e-07 -1.15878592e-07 
-1.19844366e-07 -1.19844366e-07 
-1.22289670e-07 -1.22289670e-07 
-1.17278603e-07 -1.17278603e-07 
-1.19787785e-07 -1.19787785e-07 
-1.23822772e-07 -1.23822772e-07 
-1.26322178e-07 -1.26322178e-07 
-1.26047524e-07 -1.26047524e-07 
-1.28547335e-07 -1.28547335e-07 
-1.32548429e-07 -1.32548429e-07 
-1.35030724e-07 -1.35030724e-07 
-1.38930226e-07 -1.38930226e-07 
-1.41434747e-07 -1.41434747e-07 
-1.45429787e-07 -1.45429787e-07 
-1.47912594e-07 -1.47912594e-07 
-1.47650333e-07 -1.47650333e-07 
-1.50132038e-07 -1.50132038e-07 
-1.54096405e-07 -1.54096405e-07 
-1.56536778e-07 -1.56536778e-07 
-1.36051703e-07 -1.36051703e-07 
-1.38568147e-07 -1.38568147e-07 
-1.42623676e-07 -1.42623676e-07 
-1.45157095e-07 -1.45157095e-07 
-1.44874299e-07 -1.44874299e-07 
-1.47395873e-07 -1.47395873e-07 
-1.51405473e-07 -1.51405473e-07 
-1.53905191e-07 -1.53905191e-07 
-1.57779397e-07 -1.57779397e-07 
-1.60312254e-07 -1.60312254e-07 
-1.64370604e-07 -1.64370604e-07 
-1.66893273e-07 -1.66893273e-07 
-1.66622790e-07 -1.66622790e-07 
-1.69128072e-07 -1.69128072e-07 
-1.73126210e-07 -1.73126210e-07 
-1.75599297e-07 -1.75599297e-07 
-1.70509608e-07 -1.70509608e-07 
-1.73037485e-07 -1.73037485e-07 
-1.77097796e-07 -1.77097796e-07 
-1.79620706e-07 -1.79620706e-07 
-1.79341669e-07 -1.79341669e-07 
-1.81855221e-07 -1.81855221e-07 
-1.85857516e-07 -1.85857516e-07 
-1.88335797e-07 -1.88335797e-07 
-1.92199337e-07 -1.92199337e-07 
-1.94685477e-07 -1.94685477e-07 
-1.98662896e-07 -1.98662896e-07 
-2.01140679e-07 -2.01140679e-07 
-2.00878780e-07 -2.00878780e-07 
-2.03350957e-07 -2.03350957e-07 
-2.07299941e-07 -2.07299941e-07 
-2.09730523e-07 -2.09730523e-07 
-2.18402583e-07 -2.18402583e-07 
-2.20916654e-07 -2.20916654e-07 
-2.24972787e-07 -2.24972787e-07 
-2.27504017e-07 -2.27504017e-07 
-2.27223097e-07 -2.27223097e-07 
-2.29740763e-07 -2.29740763e-07 
-2.33743279e-07 -2.33743279e-07 
-2.36235991e-07 -2.36235991e-07 
-2.40125551e-07 -2.40125551e-07 
-2.42651559e-07 -2.42651559e-07 
-2.46689709e-07 -2.46689709e-07 
-2.49202955e-07 -2.49202955e-07 
-2.48935564e-07 -2.48935564e-07 
-2.51435090e-07 -2.51435090e-07 
-2.55411813e-07 -2.55411813e-07 
-2.57862240e-07 -2.57862240e-07 
-2.52852111e-07 -2.52852111e-07 
-2.55369734e-07 -2.55369734e-07 
-2.59424013e-07 -2.59424013e-07 
-2.61927738e-07 -2.61927738e-07 
-2.61654243e-07 -2.61654243e-07 
-2.64149634e-07 -2.64149634e-07 
-2.68137896e-07 -2.68137896e-07 
-2.70606208e-07 -2.70606208e-07 
-2.74489416e-07 -2.74489416e-07 
-2.76977012e-07 -2.76977012e-07 
-2.80951930e-07 -2.80951930e-07 
-2.83421485e-07 -2.83421485e-07 
-2.83161064e-07 -2.83161064e-07 
-2.85625390e-07 -2.85625390e-07 
-2.89556155e-07 -2.89556155e-07 
-2.91981074e-07 -2.91981074e-07 
