 viout#branch    i(Viout)       
-2.15152340e-11 -2.15152340e-11 
-2.32042652e-09 -2.32042652e-09 
-1.86018667e-09 -1.86018667e-09 
-4.20115498e-09 -4.20115498e-09 
-7.83330734e-09 -7.83330734e-09 
-1.02169224e-08 -1.02169224e-08 
-9.74559811e-09 -9.74559811e-09 
-1.21187043e-08 -1.21187043e-08 
-2.12562625e-08 -2.12562625e-08 
-2.36665230e-08 -2.36665230e-08 
-2.31914399e-08 -2.31914399e-08 
-2.55899906e-08 -2.55899906e-08 
-2.92811464e-08 -2.92811464e-08 
-3.16756825e-08 -3.16756825e-08 
-3.12010116e-08 -3.12010116e-08 
-3.36012533e-08 -3.36012533e-08 
-2.40791280e-08 -2.40791280e-08 
-2.64302003e-08 -2.64302003e-08 
-2.59642192e-08 -2.59642192e-08 
-2.83276620e-08 -2.83276620e-08 
-3.19828217e-08 -3.19828217e-08 
-3.43601414e-08 -3.43601414e-08 
-3.38909558e-08 -3.38909558e-08 
-3.62502774e-08 -3.62502774e-08 
-4.53173925e-08 -4.53173925e-08 
-4.77223523e-08 -4.77223523e-08 
-4.72468855e-08 -4.72468855e-08 
-4.96395813e-08 -4.96395813e-08 
-5.33248397e-08 -5.33248397e-08 
-5.57229285e-08 -5.57229285e-08 
-5.52469857e-08 -5.52469857e-08 
-5.76440300e-08 -5.76440300e-08 
-4.90936429e-08 -4.90936429e-08 
-5.14415675e-08 -5.14415675e-08 
-5.09725666e-08 -5.09725666e-08 
-5.33457438e-08 -5.33457438e-08 
-5.69687373e-08 -5.69687373e-08 
-5.93490626e-08 -5.93490626e-08 
-5.88779585e-08 -5.88779585e-08 
-6.12509012e-08 -6.12509012e-08 
-7.03177676e-08 -7.03177676e-08 
-7.26985476e-08 -7.26985476e-08 
-7.22286515e-08 -7.22286515e-08 
-7.45977928e-08 -7.45977928e-08 
-7.82553826e-08 -7.82553826e-08 
-8.06357150e-08 -8.06357150e-08 
-8.01635380e-08 -8.01635380e-08 
-8.25447586e-08 -8.25447586e-08 
-7.30851042e-08 -7.30851042e-08 
-7.54179013e-08 -7.54179013e-08 
-7.49532560e-08 -7.49532560e-08 
-7.72956739e-08 -7.72956739e-08 
-8.09276699e-08 -8.09276699e-08 
-8.33074054e-08 -8.33074054e-08 
-8.28368130e-08 -8.28368130e-08 
-8.52080859e-08 -8.52080859e-08 
-9.42124743e-08 -9.42124743e-08 
-9.65937801e-08 -9.65937801e-08 
-9.61225908e-08 -9.61225908e-08 
-9.84953559e-08 -9.84953559e-08 
-1.02152065e-07 -1.02152065e-07 
-1.04537897e-07 -1.04537897e-07 
-1.04063773e-07 -1.04063773e-07 
-1.06452163e-07 -1.06452163e-07 
-1.12172941e-07 -1.12172941e-07 
-1.14528646e-07 -1.14528646e-07 
-1.14059631e-07 -1.14059631e-07 
-1.16421177e-07 -1.16421177e-07 
-1.20071142e-07 -1.20071142e-07 
-1.22463156e-07 -1.22463156e-07 
-1.21990631e-07 -1.21990631e-07 
-1.24364938e-07 -1.24364938e-07 
-1.33463963e-07 -1.33463963e-07 
-1.35873485e-07 -1.35873485e-07 
-1.35397883e-07 -1.35397883e-07 
-1.37794956e-07 -1.37794956e-07 
-1.41484904e-07 -1.41484904e-07 
-1.43878765e-07 -1.43878765e-07 
-1.43404428e-07 -1.43404428e-07 
-1.45797856e-07 -1.45797856e-07 
-1.36266522e-07 -1.36266522e-07 
-1.38622411e-07 -1.38622411e-07 
-1.38153851e-07 -1.38153851e-07 
-1.40515439e-07 -1.40515439e-07 
-1.44173285e-07 -1.44173285e-07 
-1.46559238e-07 -1.46559238e-07 
-1.46087515e-07 -1.46087515e-07 
-1.48459506e-07 -1.48459506e-07 
-1.57458224e-07 -1.57458224e-07 
-1.59838727e-07 -1.59838727e-07 
-1.59367787e-07 -1.59367787e-07 
-1.61736004e-07 -1.61736004e-07 
-1.65380847e-07 -1.65380847e-07 
-1.67753775e-07 -1.67753775e-07 
-1.67282806e-07 -1.67282806e-07 
-1.69654776e-07 -1.69654776e-07 
-1.61260836e-07 -1.61260836e-07 
-1.63591558e-07 -1.63591558e-07 
-1.63129599e-07 -1.63129599e-07 
-1.65482206e-07 -1.65482206e-07 
-1.69107608e-07 -1.69107608e-07 
-1.71458382e-07 -1.71458382e-07 
-1.70994745e-07 -1.70994745e-07 
-1.73335309e-07 -1.73335309e-07 
-1.82359699e-07 -1.82359699e-07 
-1.84744266e-07 -1.84744266e-07 
-1.84273212e-07 -1.84273212e-07 
-1.86643639e-07 -1.86643639e-07 
-1.90288702e-07 -1.90288702e-07 
-1.92654667e-07 -1.92654667e-07 
-1.92186128e-07 -1.92186128e-07 
-1.94549159e-07 -1.94549159e-07 
-1.85125408e-07 -1.85125408e-07 
-1.87461318e-07 -1.87461318e-07 
-1.86996886e-07 -1.86996886e-07 
-1.89340525e-07 -1.89340525e-07 
-1.92945919e-07 -1.92945919e-07 
-1.95308843e-07 -1.95308843e-07 
-1.94841355e-07 -1.94841355e-07 
-1.97196165e-07 -1.97196165e-07 
-2.06136022e-07 -2.06136022e-07 
-2.08487876e-07 -2.08487876e-07 
-2.08021419e-07 -2.08021419e-07 
-2.10368228e-07 -2.10368228e-07 
-2.13984571e-07 -2.13984571e-07 
-2.16350628e-07 -2.16350628e-07 
-2.15879901e-07 -2.15879901e-07 
-2.18251351e-07 -2.18251351e-07 
